Colorname,RGB,Type,http://www.workwithcolor.com/red-color-hue-range-01.htm,
snow,"(255,250,250)",Red,White,
baby pink,"(244,194,194)",Red,Pink,
pastel red,"(255,105,97)",Red,,
indian red,"(255,92,92)",Red,,
ferrari red,"(255,28,0)",Red,,
candy apple red,"(255,8,0)",Red,,
red,"(255,0,0)",Red,,
chestnut,"(205,92,92)",Red,,
cinnabar,"(227,66,52)",Red,,
jasper,"(215,59,62)",Red,,
fire engine red,"(206,22,32)",Red,,
boston university red,"(204,0,0)",Red,,
firebrick,"(178,34,34)",Red,,
cornell red,"(179,27,27)",Red,,
dark candy apple red,"(164,0,0)",Red,,
maroon,"(128,0,0)",Red,,
prine,"(112,28,28)",Red,,
dark sienna,"(-100,-100,-100)",Red,Brown,"(60,20,20)"
seal brown,"(-100,-100,-100)",Red,Brown,"(50,20,20)"
atomic tangerine,"(255,153,102)",Red-Orange,,
salmon,"(255,140,105)",Red-Orange,,
dark salmon,"(233,150,122)",Red-Orange,,
coral,"(255,127,80)",Red-Orange,,
burnt sienna,"(233,116,81)",Red-Orange,,
portland orange,"(255,90,54)",Red-Orange,,
terra cotta,"(226,114,91)",Red-Orange,,
coquelicot,"(255,56,0)",Red-Orange,,
flame,"(226,88,34)",Red-Orange,,
cinereous,"(152,129,123)",Red-Orange,,
dark coral,"(205,91,69)",Red-Orange,,
dark chestnut,"(152,105,96)",Red-Orange,,
sinopia,"(203,65,11)",Red-Orange,,
dark pastel red,"(194,59,34)",Red-Orange,,
mahogany,"(192,64,0)",Red-Orange,,
rust,"(183,65,14)",Red-Orange,,
bole,"(121,68,59)",Red-Orange,,
burnt umber,"(138,51,36)",Red-Orange,,
auburn,"(109,53,26)",Red-Orange,,
seashell,"(255,245,238)",Orange,,
champagne,"(247,231,206)",Orange,,
peach,"(255,229,180)",Orange,,
wheat,"(245,222,179)",Orange,,
sunset,"(250,214,165)",Orange,,
apricot,"(251,206,177)",Orange,,
desert sand,"(237,201,175)",Orange,,
pastel orange,"(255,179,71)",Orange,,
burlywood,"(222,184,135)",Orange,,
dark tangerine,"(255,168,18)",Orange,,
chrome yellow,"(255,167,0)",Orange,,
fawn,"(229,170,112)",Orange,,
earth yellow,"(225,169,95)",Orange,,
indian yellow,"(227,168,87)",Orange,,
khaki,"(195,176,145)",Orange,,
dark orange,"(255,140,0)",Orange,,
gamboge,"(228,155,15)",Orange,,
carrot orange,"(237,145,33)",Orange,,
orange,"(225,127,0)",Orange,,
tangerine,"(242,133,0)",Orange,,
cadmium orange,"(237,135,45)",Orange,,
pumpkin,"(255,117,24)",Orange,,
desert,"(193,154,107)",Orange,,
safety orange,"(255,103,0)",Orange,,
bronze,"(205,127,50)",Orange,Brown,
ochre,"(204,119,24)",Orange,,
cinnamon,"(210,105,30)",Orange,,
copper,"(184,115,51)",Orange,,
chamoisee,"(160,120,90)",Orange,,
burnt orange,"(204,85,0)",Orange,,
shadow,"(138,121,93)",Orange,,
golden brown,"(153,101,21)",Orange,Brown,
pastel brown,"(131,105,83)",Orange,,
raw umber,"(130,102,68)",Orange,,
brown,"(150,75,0)",Orange,Brown,
chocolate,"(123,63,0)",Orange,,
sepia,"(112,66,20)",Orange,,
dark brown,"(101,67,33)",Orange,Brown,
dark lava,"(72,60,50)",Orange,,
bistre,"(61,43,31)",Orange,,
cornsilk,"(255,248,220)",Orange-Yellow,,
blond,"(250,240,190)",Orange-Yellow,,
pearl,"(2440,234,214)",Orange-Yellow,,
platinum,"(229,228,226)",Orange-Yellow,,
vanilla,"(243,229,171)",Orange-Yellow,,
mustard,"(255,219,88)",Orange-Yellow,,
buff,"(240,220,130)",Orange-Yellow,,
banana yellow,"(255,209,42)",Orange-Yellow,,
arylide yellow,"(233,214,107)",Orange-Yellow,,
saffron,"(244,196,48)",Orange-Yellow,,
amber,"(255,191,0)",Orange-Yellow,,
sand,"(194,178,128)",Orange-Yellow,,
goldenrod,"(218,165,32)",Orange-Yellow,,
dark goldenrod,"(184,134,11)",Orange-Yellow,,
dark tan,"(145,129,81)",Orange-Yellow,,
sand dune,"(150,113,23)",Orange-Yellow,,
ivory,"(255,255,240)",Yellow,,
cream,"(255,253,208)",Yellow,,
pastel yellow,"(253,253,150)",Yellow,,
beige,"(245,245,220)",Yellow,,
daffodil,"(255,255,49)",Yellow,,
yellow,"(255,255,0)",Yellow,,
icterine,"(252,247,94)",Yellow,,
lemon,"(255,247,0)",Yellow,,
canary yellow,"(255,239,0)",Yellow,,
flavescent,"(247,233,142)",Yellow,,
corn,"(251,236,93)",Yellow,,
golden yellow,"(255,223,0)",Yellow,,
titanium yellow,"(238,230,0)",Yellow,,
dandelion,"(240,225,38)",Yellow,,
peridot,"(230,226,0)",Yellow,,
straw,"(228,217,111)",Yellow,,
sanstorm,"(236,213,64)",Yellow,,
pastel gray,"(207,207,196)",Yellow,Gray,
citrine,"(228,208,10)",Yellow,,
dark khaki,"(189,183,107)",Yellow,,
brass,"(181,161,66)",Yellow,,
chartreuse,"(223,255,0)",Yellow-Green,,
Lime,"(191,255,0)",Yellow-Green,,
spring bud,"(167,252,0)",Yellow-Green,,
pear,"(209,226,49)",Yellow-Green,,
android green,"(164,198,57)",Yellow-Green,,
apple green,"(141,182,0)",Yellow-Green,,
battleship grey,"(132,132,130)",Gray,,
olive,"(128,128,0)",Yellow-Green,,
army green,"(75,83,32)",Yellow-Green,,
inchworm,"(178,236,93)",Green,,
bright green,"(124,252,0)",Green,,
lawn green,"(124,252,0)",Green,,
celadon,"(172,225,175)",Green,,
pastel green,"(119,221,119)",Green,,
pistachio,"(147,197,114)",Green,,
dollar bill,"(133,187,101)",Green,,
asparagus,"(135,169,107)",Green,,
dark pastel green,"(3,192,60)",Green,,
camouflage green,"(120,134,107)",Green,Gray,
india green,"(19,136,8)",Green,,
green,"(0,128,0)",Green,,
dark olive green,"(85,107,47)",Green,,
rifle green,"(65,72,51)",Green,,
aquamarine,"(127,255,212)",Green-Cyan,,
clover,"(0,255,111)",Green-Cyan,,
ash grey,"(178,190,181)",Green-Cyan,Gray,
cambridge blue,"(163,193,173)",Green-Cyan,,
caribbean green,"(0,204,153)",Green-Cyan,,
emerald,"(80,200,120)",Green-Cyan,,
mint,"(62,180,137)",Green-Cyan,,
ming,"(71,118,120)",Green-Cyan,,
tax break,"(67, 104, 104)",Green-Cyan,https://www.htmlcsscolor.com/hex/436868,
jade,"(0,168,107)",Green-Cyan,,
xanadu,"(115,134,120)",Green-Cyan,,
tropical rain forest,"(0,117,94)",Green-Cyan,,
dark spring green,"(23,114,69)",Green-Cyan,,
cadmium green,"(0,107,60)",Green-Cyan,,
forest green,"(1,68,33)",Green-Cyan,,
british racing green,"(0,66,37)",Green-Cyan,,
dark green,"(-100,-100,-100)",Green-Cyan,,"(1,50,32)"
dark jungle green,"(-100,-100,-100)",Green-Cyan,,"(26,26,33)"
bubbles,"(231,254,255)",Cyan,,
cyan,"(0,255,255)",Cyan,,
columbia blue,"(155,221,255)",Cyan,,
bright turquoise,"(8,232,222)",Cyan,,
baby blue,"(137,207,240)",Cyan,,
sky blue,"(135,206,235)",Cyan,,
pastel blue,"(174,198,207)",Cyan,,
turquoise,"(175,66,51)",Cyan,,
dark cyan,"(0,139,139)",Cyan,,
cerulean,"(0,123,167)",Cyan,,
teal,"(0,128,128)",Cyan,,
pine green,"(1,121,111)",Cyan,,
dark slate gray,"(47,79,79)",Cyan,Gray,
alice blue,"(240,248,255)",Cyan-Blue,,
baby blue eyes,"(161,202,241)",Cyan-Blue,,
carolina blue,"(153,186,221)",Cyan-Blue,,
iceberg,"(113,166,210)",Cyan-Blue,,
cornflower blue,"(100,49,237)",Cyan-Blue,,
dark pastel blue,"(119,158,203)",Cyan-Blue,,
united nations blue,"(91,146,229)",Cyan-Blue,,
bleu de france,"(49,140,231)",Cyan-Blue,,
azure,"(0,127,255)",Cyan-Blue,,
air force blue,"(93,138,168)",Cyan-Blue,,
glaucous,"(96,130,182)",Cyan-Blue,,
steel blue,"(70,130,180)",Cyan-Blue,,
denim,"(21,96,189)",Cyan-Blue,,
cadet,"(83,104,120)",Gray,,
cobalt,"(0,71,171)",Cyan-Blue,,
yale blue,"(15,77,146)",Cyan-Blue,,
dark cerulean,"(8,69,126)",Cyan-Blue,,
charcoal,"(54,69,79)",Cyan-Blue,Gray,
arsenic,"(59,68,75)",Cyan-Blue,Gray,
